"Track ID","Track Name","Album ID","Artist ID(s)","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","ISRC","Label","Spotify ID"
"42","I Am the Beat","42","35","180547","https://p.scdn.co/mp3-preview/46344317a54388d705a1a3eb32ef63046c461ded?cid=9950ac751e34487dbbe027c4fd7f8e99","False","25","0.429","0.657","8","-9.708","1","0.0788","0.262","6.05e-05","0.0506","0.784","174.984","4","FR6V81663643","Rdeg","5LenBcq9xeHLC00Gn7AyYv"
"43","Well Hello","43","36","174040","https://p.scdn.co/mp3-preview/229de6c06935943702089c4cb2b86c2b7fa3e423?cid=9950ac751e34487dbbe027c4fd7f8e99","False","0","0.473","0.697","3","-6.253","1","0.03","0.0229","0.0","0.0396","0.894","77.181","4","GBBXS1506746","R.B Nostalgia","0K1ddNp1ev0zdik1EzuxkT"
"44","Twistin' Matilda (And the Channel)","44","37","174933","https://p.scdn.co/mp3-preview/395bbe792264e99455e4159e5755dcc29fb01fff?cid=9950ac751e34487dbbe027c4fd7f8e99","False","0","0.535","0.775","7","-7.606","1","0.155","0.715","0.0","0.228","0.847","141.424","4","QMBZ91305574","Black Sheep Music","1A4a167Yf7bXEkVOqon1HK"
"45","Nothing Can Divide Us","45","38","226200","https://p.scdn.co/mp3-preview/bf99006fe32f957c34e7771eb6ea950c655149ea?cid=9950ac751e34487dbbe027c4fd7f8e99","False","8","0.702","0.788","7","-11.54","1","0.0423","0.0263","2.42e-06","0.0436","0.852","120.1","4","AUMU08800142","WM Australia","34sAPj9hCZr4f814I3MWEy"
"46","Its Only the Beginning","46","39","281640","https://p.scdn.co/mp3-preview/0e535704f5582f9881ff1346e525c3efd8bab18b?cid=9950ac751e34487dbbe027c4fd7f8e99","False","40","0.562","0.692","4","-9.996","1","0.0361","0.0275","1.16e-06","0.276","0.653","137.921","4","AUMU09400043","WM Australia","1HXaX12pA7jVuwUczy5UOd"
"47","S.O.S.","47","40","153346","https://p.scdn.co/mp3-preview/e3537232f9b07c5a790914c932050b713bbd85e7?cid=9950ac751e34487dbbe027c4fd7f8e99","False","0","0.587","0.697","7","-3.836","1","0.0682","0.000749","0.0","0.182","0.702","137.088","4","USHR10723189","Universal Music AS","2gGxroCYEruO4Bco35RnGU"
"48","Lil Boo Thang","48","41","114233","https://p.scdn.co/mp3-preview/79f29532b707e2bd12e311d7dce2591b4d57437e?cid=9950ac751e34487dbbe027c4fd7f8e99","False","79","0.85","0.699","0","-3.292","1","0.0776","0.152","0.0","0.32","0.915","114.481","4","USAR12300323","Arista Records","0cVyQfDyRnMJ0V3rjjdlU3"
"49","Piece by Piece","49","42","257746","https://p.scdn.co/mp3-preview/f628a42dac2688f5c149768b0b2ee3a20f49fc3c?cid=9950ac751e34487dbbe027c4fd7f8e99","False","50","0.59","0.808","1","-6.728","1","0.0408","0.000953","1.53e-06","0.0918","0.601","106.029","4","GBCTA1500005","RCA Records Label","2NELtMgQ8HSdrGrYQPLnC3"
"50","Glamorous","50","1122, 3061","246600","https://p.scdn.co/mp3-preview/ba1380303365ab2106f43e1647c7a09e2eef35fc?cid=9950ac751e34487dbbe027c4fd7f8e99","True","62","0.81","0.76","0","-6.447","1","0.232","0.301","0.0","0.103","0.56","130.991","4","USUM70609119","Will I Am / Fergie LP1","6vVfNqiMSku4FrqsqhurBK"
"51","Free Your Mind","51","43","293105","https://p.scdn.co/mp3-preview/1534e3c452634d8b73c9c1fd498910cd9090fed6?cid=9950ac751e34487dbbe027c4fd7f8e99","False","53","0.765","0.831","7","-6.522","1","0.0565","0.0894","0.0","0.393","0.809","100.026","4","USEW19900116","Rhino Atlantic","2vG1yrWSMiL6egg6w4e9ma"
"52","Untouchable (Originally Performed by Taylor Swift) [Vocal Version]","52","44","316212","https://p.scdn.co/mp3-preview/90823f0c8beb0461ddaf2e8ed0610ef4cf435bee?cid=9950ac751e34487dbbe027c4fd7f8e99","False","1","0.539","0.344","5","-11.118","1","0.0421","0.568","0.0","0.101","0.452","199.942","4","US8K21206705","Musical Creations","6ZQIKSFLoonDStQchogVdC"
"53","From The Sea","53","45","203146","https://p.scdn.co/mp3-preview/56abd5af47f5763c6d2d8c691484c26092635997?cid=9950ac751e34487dbbe027c4fd7f8e99","False","0","0.582","0.939","8","-3.305","0","0.0342","0.0628","4.49e-05","0.0855","0.273","130.023","4","AUMU00400051","WM Australia","74Hy0E0huf9VS853otOC0m"
"54","Dance To This (feat. Ariana Grande)","54","1156, 646","231846","https://p.scdn.co/mp3-preview/f1d24e8a12e82dba75f9dd181d623bcb97879868?cid=9950ac751e34487dbbe027c4fd7f8e99","False","64","0.736","0.756","11","-7.099","1","0.047","0.00632","0.00569","0.106","0.712","117.015","4","AUUM71800523","EMI Recorded Music Australia Pty Ltd","2NjO87HyT80fsgejd3PLYW"
"55","Into The Dark","55","46","166893","https://p.scdn.co/mp3-preview/a90d9f32a863055afca2f50e2424e4e65fe3de34?cid=9950ac751e34487dbbe027c4fd7f8e99","False","28","0.779","0.719","7","-7.004","1","0.0279","0.0989","0.0","0.111","0.936","125.996","4","US27Q0460707","WM Australia","1ESxXEaYZ3CvkVqBdSHZiS"
"56","Happenin' All Over Again - Radio","56","47","208346","https://p.scdn.co/mp3-preview/5ac654a40a8d77e805c0d703152e5eded192de15?cid=9950ac751e34487dbbe027c4fd7f8e99","False","23","0.617","0.752","8","-9.907","1","0.0547","0.000957","7.51e-06","0.305","0.856","124.038","4","AUBM00600794","Sony BMG Music Entertainment","1Xhz8EjC4GChCe46aR0MFy"
"57","You've Never Been This Far Before","57","48","192893","https://p.scdn.co/mp3-preview/a21c22b31b117f6a99e637118b923f9d88c6019d?cid=9950ac751e34487dbbe027c4fd7f8e99","False","1","0.702","0.339","10","-14.214","1","0.0359","0.679","0.0","0.103","0.672","133.315","4","USDMG0514715","Dualtone Music Group, Inc.","6UqKslmiLujULn7mpfbpaC"
"58","Superstylin'","58","49","360426","https://p.scdn.co/mp3-preview/d46a238e623762ef595367c5099d018e9d0bb788?cid=9950ac751e34487dbbe027c4fd7f8e99","False","60","0.742","0.798","9","-8.263","1","0.0558","0.00346","0.00131","0.259","0.928","128.967","4","GBAHK0100089","Jive Electro","2yWyFT6bW1Rd9cjVvYi4v8"
"59","Halfway Gone","59","50","195306","https://p.scdn.co/mp3-preview/2e609017bbfad350a1f0f50c71c9e26ffea87989?cid=9950ac751e34487dbbe027c4fd7f8e99","False","49","0.543","0.919","1","-4.831","0","0.0415","0.000441","0.0","0.238","0.498","125.017","4","USUM70903932","Geffen","7rojor07Wzc7w3zXOxex80"
